,Location,geo:long,Timestamp,geo:lat,Perception
0,0,-2.119997971,18-06-09 15:14,53.25192587,4.333333333
1,1,-2.121196424,18-06-09 15:16,53.25231548,4.6
2,2,-2.121276678,18-06-09 15:19,53.25123525,4.6
3,3,-2.121046897,18-06-09 15:22,53.25018125,5
4,4,-2.118449639,18-06-09 15:23,53.25127739,4.5
5,5,-2.119400064,18-06-09 15:25,53.24993256,4.4
6,6,-2.116888995,18-06-09 15:32,53.25189515,3.333333333
