Location,geo:long,Timestamp,geo:lat,Perception
0,4.308657732,18-09-20 9:01,50.86608991,4.166666667
1,4.307225688,18-09-20 9:05,50.86691161,4
2,4.309166182,18-09-20 9:07,50.86656237,4.333333333
3,4.305057465,18-09-20 9:11,50.8662567,4
4,4.306354723,18-09-20 9:18,50.86490713,4.333333333
5,4.308399508,18-09-20 9:21,50.8650056,4.333333333
6,4.310383469,18-09-20 9:25,50.86560091,3.833333333
